Punti mancanti nella nuova interfaccia                                                  |   Priorità
=======================================================================================================
- visualizzazione metriche per tipo (time series, scalari)                              |   (Medium)
- visualizzazione parametri run esistente                                               |   (Medium)
- ottimizzazione selezione tracce in base alla scelta della simualzione PLS             |   (Medium)
- merge delle mie modifiche su nuova versione PLC testbench                             |   (Urgent)
- adattamento PLC testbench UI backend alle nuove modifiche di PLC testbench            |   (Urgent)
- merge del progetto (react test) in quello principale (branch)                         |   (Low)
- test su docker                                                                        |   (Low)
- URL localhost cablato in docker mode ?                                                |   (Low)
- run status                                                                            |   (Medium)
- performance (streaming ? efficientamento caricamenti  ?)                              |   (Urgent)
- standardizzazione user experience su AudioPlayer                                      |   (Medium)
